#Undistorted correespondences coordinates in left image, perspective centered coordinates
#x left;y left
6.455123433706729495e-03;-4.576753130537809106e-02
2.432002097853211697e-01;-3.496800783243452782e-01
1.715935756204377827e-01;1.917459002994262030e-01
2.847383861534122929e-01;-1.126889217114253744e-01
1.449065970380636614e-01;5.648488151146569686e-02
2.619119869679476520e-01;-3.129841738113376542e-02
6.994029871538970378e-02;-2.652304340990388476e-01
2.141396802125636323e-01;-2.144992483328290178e-01
-3.225244295393985472e-04;-2.182276549212640859e-01
-1.252122957739919208e-04;-5.130301215610848925e-02
5.510214416595677484e-02;2.567198285508021649e-01
-5.281043723241173049e-02;-2.532652051661316572e-01
9.338886423113912372e-02;-2.583755536491194951e-02
1.949585687103499998e-01;4.257704196532069441e-02
6.421397148729836302e-02;-4.213685847208843427e-01
3.805723055934448484e-01;-5.356135149567804732e-02
-4.273235707880307377e-02;5.631290251330418190e-02
3.611141914883937987e-01;-2.043463434762988473e-01
5.457145526798000412e-02;-4.330496317382424021e-01
-1.180234896019478619e-01;2.662309917195386233e-01
1.605190207700453731e-01;-4.691444521276187940e-01
3.194084567275838893e-01;-1.722171769343724956e-01
1.015159976836399330e-01;-3.339466083343813896e-01
-8.038056039832035260e-02;-3.105470520946911339e-01
2.512243773321289342e-01;1.370892547050464316e-01
2.681445465165426256e-01;1.042818051415690950e-01
7.190050308132320267e-02;-2.014117340194503669e-01
-1.413629181089707809e-01;1.994751444646263583e-01
2.823049434077761766e-01;1.682839306471779484e-01
-1.395834623735009716e-01;8.326419176010721457e-02
1.813198690393741930e-01;1.153400859531823336e-01
3.834373955269684275e-01;4.366353182974819919e-02
2.467555726258035542e-01;-3.277619440804829254e-01
8.008261308948000368e-02;-1.500584282080349649e-02
2.436364258222460666e-01;-3.466726504606048032e-01
2.332095790809409763e-01;-1.535398155487041338e-01
1.349380431631641564e-02;-3.023978337816738970e-01
3.567415472229080176e-01;-3.644751854315335660e-01
3.533007996414180285e-01;-3.182431904253703037e-01
3.077794877283604805e-02;-1.988212886484025388e-01
1.420649380476481372e-01;-3.100398810128591337e-02
-1.174570605402881079e-01;1.341954081618217942e-01
1.092702778174723249e-01;2.211915854545890570e-01
1.850202583187610939e-01;-1.704586523497967077e-01
2.385710811486994321e-01;-7.703742078196161580e-02
2.054593174445291243e-02;-1.271147816412689924e-01
8.014386263249632936e-02;2.071263552037512223e-01
3.291112616576604560e-02;3.116788453540121906e-01
1.678325875714321500e-02;8.083429245757652037e-02
-6.818935166709370888e-02;-5.208394187211014964e-02
1.736016414979782707e-01;1.379947580103567384e-01
-1.157862989414795707e-02;-5.363769443469234427e-02
-3.120989807215144435e-02;2.524225711017141216e-01
2.648214577599690145e-01;-1.044585856397632073e-01
2.761854772921963908e-01;-2.565031224321905334e-01
2.055072562880305154e-01;5.152711364196736060e-03
9.787528670178503865e-02;-9.073295743941361957e-02
1.480464293348801030e-01;-5.078164263750086782e-01
9.400224035650452115e-02;-1.374434574992696445e-01
1.057037202227517209e-01;-1.888603254391336694e-01
2.570219906775310648e-01;-1.301152437590209487e-01
2.120783652038759903e-01;-4.260086613938789402e-01
3.705828522669021852e-01;1.684127013734133538e-01
2.207357907839703481e-01;-3.029925635183493005e-01
3.398485251325172318e-01;-1.705106320884418880e-01
2.753629522372911809e-01;-3.096761237209587070e-01
-1.324007572156583531e-02;3.195115513642110550e-02
1.164508766419645319e-01;1.198174031131108846e-01
3.802968481188723771e-01;-5.028319203968516504e-01
-4.554179310727912017e-02;-3.069517898037320003e-01
2.227447066216258764e-01;-3.048006900963024512e-01
1.131488531724614416e-01;1.607901121985988724e-01
1.832322001119126575e-01;2.334673600514591829e-01
-3.161166079952412722e-02;-2.184097520899356271e-01
7.663182392184281211e-02;4.368270429233532814e-01
1.218181095508899248e-01;1.747199370927862150e-01
-9.538305186037382422e-02;-9.964606660559906237e-03
-2.792719715816946099e-02;2.338715233651014747e-01
-2.344069055063306359e-02;1.277873494730767945e-01
2.197500489101610888e-01;2.470193414290437484e-01
1.421790099392237217e-01;2.007572727987050054e-01
1.474242550957519104e-01;-1.661147060996189806e-01
2.028251574406871593e-01;-3.731057392776211956e-01
2.996234147952739346e-01;1.302950506603473835e-01
1.160615426634803021e-01;-4.560124179888876972e-01
-8.627388316685279113e-02;-3.540348877288742035e-01
8.409006376830642504e-02;1.474400332933433790e-02
4.724262540321291781e-02;-4.404439944117806705e-01
2.054890680315441809e-01;4.025668318816991720e-01
-8.429802761796401089e-02;6.201525822828557466e-02
1.516996681377061895e-01;4.279298014190220933e-01
-9.173245599580051590e-02;2.662651613744359547e-01
3.186748080966861352e-01;2.142873385404071296e-01
-1.209615407551828115e-01;-9.889158523662347489e-02
2.795016823629604130e-01;1.449137331969453102e-01
2.159010904669573794e-01;1.272290881650693928e-01
1.894050168419247893e-01;-5.115686924177332839e-01
3.755710082718011211e-01;-1.989104345030671406e-01
1.891225851260743551e-01;3.314490011972544559e-01
1.163614008116443249e-01;6.377971522126159309e-02
