#Undistorted correespondences coordinates in right image, perspective centered coordinates
#x right;y right
-2.831383522699017496e-01;-3.776917289512893988e-02
-9.107865638093391725e-02;-3.438903876556129169e-01
-3.996224295327582832e-02;1.996152576410403223e-01
-5.260912484553906081e-03;-1.066511117474448905e-01
-9.490562401118830815e-02;6.391697538339891072e-02
1.841989224239419390e-03;-2.491643990162660180e-02
-2.466603335992990087e-01;-2.582377969655882954e-01
-1.163744718468222306e-01;-2.082349458198145264e-01
-3.137396234683303975e-01;-2.106628716949293656e-01
-2.917364080390640324e-01;-4.324059717782286622e-02
-2.109968312581007033e-01;2.662108857616066193e-01
-3.598829167757833236e-01;-2.454405369122598657e-01
-1.746498466487980128e-01;-1.834541349016891032e-02
-4.493103186507183683e-02;4.964158646395219060e-02
-2.259686540340705430e-01;-4.143616062331562655e-01
1.087635967616375904e-01;-4.791815001414063968e-02
-2.959814647462343240e-01;6.489659345019541115e-02
5.354355119152393039e-02;-1.990232148326011308e-01
-2.330646413567700470e-01;-4.259312915083803830e-01
-3.690441111568530941e-01;2.766576425548824547e-01
-1.286195533549480408e-01;-4.626437453621521922e-01
2.043696165206325757e-02;-1.665206275304549066e-01
-2.050342073522449793e-01;-3.271978016239162068e-01
-3.850174661667596365e-01;-3.026255664931704059e-01
3.615238875499537236e-02;1.442018399127554529e-01
3.786842137132192393e-02;1.112218361284306317e-01
-2.549616071777653370e-01;-1.942374621295704928e-01
-3.752404254574194242e-01;2.093086569571465938e-01
6.710571634904249905e-02;1.754258843112371513e-01
-3.721410227664800896e-01;9.243298427450973020e-02
-3.905074678097643359e-02;1.227235276118707613e-01
1.439886061385750593e-01;4.956637165618026086e-02
-9.045498028405084268e-02;-3.219506197752639576e-01
-1.855358133622349581e-01;-7.390185733459117730e-03
-9.091004056822844792e-02;-3.408654284495595821e-01
-6.902574925463457467e-02;-1.472814316050254091e-01
-2.854499202685367720e-01;-2.950686730153099235e-01
2.540762325480356090e-02;-3.594104053370264507e-01
1.585584730873859302e-02;-3.130866432177089043e-01
-2.908262272385617186e-01;-1.914108845884752164e-01
-1.342978768615269713e-01;-2.380159768346679430e-02
-3.518415337961686706e-01;1.435057434227701989e-01
-1.331107561430297515e-01;2.298979966695806898e-01
-1.389499358921014727e-01;-1.638827816388619130e-01
-3.938298591849882790e-02;-7.060131735386364349e-02
-2.832682466416701073e-01;-1.194388726198467865e-01
-1.681210286883951521e-01;2.159150020541596993e-01
-2.198969219815463949e-01;3.216264358343625673e-01
-2.606241839478099509e-01;8.936644855650954788e-02
-3.430073789647247740e-01;-4.368033678135277431e-02
-4.180885888235002373e-02;1.455173577226088200e-01
-3.017725112287157896e-01;-4.553908405811345900e-02
-2.997266762664309026e-01;2.623609594697391967e-01
-2.062556286436323730e-02;-9.823866608920640842e-02
-5.800789471885682558e-02;-2.506861024297858953e-01
-4.751100723019455879e-02;1.206007994907380525e-02
-1.981668224157375202e-01;-8.342279532689518551e-02
-1.317586712723858577e-01;-5.011653922248242576e-01
-2.168797119577192956e-01;-1.302170854009319367e-01
-2.278102548357588408e-01;-1.818386108614220842e-01
-3.494630330132678792e-02;-1.239416623572691389e-01
-1.022297130082467920e-01;-4.200227078290983407e-01
1.669498078930944929e-01;1.749195701293385086e-01
-1.144472474034464449e-01;-2.969889506901001175e-01
4.209713250295323006e-02;-1.649674112489706579e-01
-7.041120460813302118e-02;-3.040141776141632723e-01
-2.798336955588183739e-01;4.035878599061563932e-02
-1.156029447219648620e-01;1.276951407610684708e-01
6.653655164312104187e-02;-4.978711206262311784e-01
-3.463955205900506873e-01;-2.992406462203232032e-01
-1.123674420572590565e-01;-2.988083363268987380e-01
-1.239358135966330265e-01;1.689781003952582905e-01
-3.597912456090274214e-02;2.416417912696908477e-01
-3.417859858021237152e-01;-2.106471786052697137e-01
-1.283452823224030537e-01;4.471401019787912268e-01
-1.164988732164685542e-01;1.829876176822437528e-01
-3.491681208880573761e-01;-1.360038691022345293e-03
-2.921022866100380644e-01;2.435850882740729084e-01
-2.819726149050764685e-01;1.367574174761683470e-01
3.043250809000645069e-02;2.547840920667842068e-01
-8.807578341383213993e-02;2.089751739657247365e-01
-1.752789951403186663e-01;-1.592978501037775330e-01
-1.199293689358216369e-01;-3.670601724407056565e-01
7.330656113112256345e-02;1.371338374154438822e-01
-1.684348016796523573e-01;-4.492441446358049206e-01
-3.883889784490145991e-01;-3.461123626985173063e-01
-1.741560480216739482e-01;2.243752845891057793e-02
-2.388027707913154274e-01;-4.332568779855485164e-01
2.532062479797178578e-02;4.115412210403397442e-01
-3.257472018639108735e-01;7.082047711337223495e-02
-2.846073846001234350e-02;4.374266856020064265e-01
-3.502491906998037585e-01;2.766036072274515312e-01
1.295964319959548861e-01;2.212477688954637423e-01
-3.916245626945767944e-01;-9.033505474907745081e-02
6.213690476243246413e-02;1.519147127985262247e-01
1.240377959437966113e-03;1.345105748731394713e-01
-9.313612921575117887e-02;-5.051674708312727802e-01
6.883778190429114263e-02;-1.936379568709839794e-01
-5.526404543408550314e-03;3.400436542415183339e-01
-1.235050497299858274e-01;7.140677761053093597e-02
